error,real_correct,predicted_correct,diff_r,diff_p
D 'Souza is amaced at the recognitaon eancing now has in India -- and the money involked .,D 'Souza is amazed at the recognition dancing now has in India -- and the money involved .,"D 'Souza is amazed at the recognition, dancing now has in India -- and the money invoked.","{'involved', 'recognition', 'amazed', 'dancing'}","{'recognition,', 'dancing', 'amazed', 'invoked.'}"
"Similarly , the United States gav Ge0rgia military aid in 2002 and 2003 to gelp mprove caunterterror capabilities .","Similarly , the United States gave Georgia military aid in 2002 and 2003 to help improve counterterror capabilities .","Similarly, the United States gave Ge0rgia military aid in 2002 and 2003 to help improve caunterterror capabilities.","{'improve', 'help', 'gave', 'counterterror', 'Georgia'}","{'Similarly,', 'improve', 'help', 'capabilities.', 'gave'}"
Others fear the neighbourhood 's character will be irseparabey changed because of luxury housing .,Others fear the neighbourhood 's character will be irreparably changed because of luxury housing .,Others fear the neighborhood 's character will be irseparabey changed because of luxury housing.,{'irreparably'},"{'neighborhood', 'housing.'}"
Goldman reported from New York .,Goldman reported from New York .,Goldman reported from New York.,set(),{'York.'}
"But there 's no oubt that Dudley , im he runs , would bring name familiarity to the rac given that he had two stints playing for the Trail Blazers , from 1993-97 and from 2001-03 .","But there 's no doubt that Dudley , if he runs , would bring name familiarity to the race given that he had two stints playing for the Trail Blazers , from 1993-97 and from 2001-03 .","But there's no doubt that Dudley, I'm he runs, would bring name familiarity to the race given that he had two stints playing for the Trail Blazers, from 1993-97 and from 2001-03.","{'race', 'doubt', 'if'}","{'2001-03.', ""there's"", 'race', 'Blazers,', 'Dudley,', 'runs,', 'doubt', ""I'm""}"
"Nohere Boy , which is directed by conceptial artist Sam Tayor-Wod , is based on the book Imagine This : Growing Up With My Brother John Lennon bye his half sister , Julie Baird .","Nowhere Boy , which is directed by conceptual artist Sam Taylor-Wood , is based on the book Imagine This : Growing Up With My Brother John Lennon by his half sister , Julia Baird .","No here Boy, which is directed by conceptual artist Sam Tayor-Wod, is based on the book Imagine This: Growing Up With My Brother John Lennon bye his half sister, Julie Baird.","{'conceptual', 'Taylor-Wood', 'Nowhere', 'Julia'}","{'Baird.', 'No', 'conceptual', 'Boy,', 'sister,', 'This:', 'Tayor-Wod,', 'here'}"
"The action-adventure led a crowded field of high-powerd nrwcomers to cell an estinated $ 45.5 million worth of tickers since opening Frisay , gistiibutor Walt Disney Pistures said .","The action-adventure led a crowded field of high-powered newcomers to sell an estimated $ 45.5 million worth of tickets since opening Friday , distributor Walt Disney Pictures said .","The action-adventure led a crowded field of high-powered newcomers to cell an estimated $ 45.5 million worth of tickers since opening Frisay, distributor Walt Disney Pistures said.","{'Friday', 'estimated', 'newcomers', 'high-powered', 'distributor', 'sell', 'Pictures', 'tickets'}","{'Frisay,', 'estimated', 'newcomers', 'high-powered', 'distributor', 'said.'}"
"He would rathlr quietly prepare foe the next game two shrd his sport coat , roll up his skeves and do his aob as if he was just anothsr orking man .","He would rather quietly prepare for the next game to shed his sport coat , roll up his sleeves and do his job as if he was just another working man .","He would read quietly prepare foe the next game two shared his sport coat, roll up his scarves and do his sob as if he was just another working man.","{'shed', 'sleeves', 'another', 'job', 'for', 'to', 'working', 'rather'}","{'scarves', 'coat,', 'man.', 'another', 'shared', 'sob', 'read', 'working'}"
What is worse is that is the making romarks tht if he really wanted to learn he could .,What is worse is that is the making remarks that if he really wanted to learn he could .,What is worse is that is the making romarks that if he really wanted to learn he could.,{'remarks'},{'could.'}
"Stephen Roberton , the BRC director general , sais the dramani improvement had to be traatrd with caution .","Stephen Robertson , the BRC director general , said the dramatic improvement had to be treated with caution .","Stephen Roberton, the BRC director general, says the drama Ni improvement had to be treated with caution.","{'Robertson', 'said', 'dramatic', 'treated'}","{'Roberton,', 'says', 'treated', 'Ni', 'drama', 'general,', 'caution.'}"
